#,japanese,pronounciation,translation
661,こぼれる,こぼれる,"spill, overflow"
662,伝える,つたえる,"convey, transmit"
663,膝,ひざ,knee
664,肘,ひじ,elbow
665,枕,まくら,pillow
666,建物,たてもの,"building, structure"
667,道路,どうろ,road
668,四つ角,よつかど,intersection
669,曲がり角,まがりかど,corner (to turn)
670,警察,けいさつ,police
671,空気,くうき,"air, atmosphere"
672,スポーツ,すぽ,sport
673,チャンス,ちゃ,chance
674,クリーニング,くり,dry cleaning
675,サービス,さ,"service, on the house"
676,グループ,ぐる,group
677,自宅,じたく,"one’s house, one’s home"
678,家庭,かてい,"home, family"
679,期間,きか,"term, period"
680,年度,ね,"year, school year"
681,経験,けいけ,"experience, knowledge"
682,安全,あ,"safety, security"
683,危険,きけ,"danger, dangerous"
684,注意,ちゅうい,"attention, care"
685,成功,せいこう,success
686,努力,どりょく,"endeavor, effort"
687,説明,せつめい,"explanation, description"
688,地震,じし,earthquake
689,手術,しゅじゅつ,surgical operation
690,火傷,やけど,burn
691,課題,かだい,"task, assignment"
692,子,こ,"young child, kid"
693,確認,かくに,confirmation
694,実際,じっさい,"reality, actual state"
695,国際,こくさい,international (used in compound nouns)
696,会議,かいぎ,"conference, meeting"
697,提案,ていあ,"proposition, proposal"
698,事務所,じむしょ,"office, one’s place of business"
699,教授,きょうじゅ,professor
700,世紀,せいき,century
701,あちこち,あちこち,"all over, here and there"
702,そちら,そちら,"there, that way (polite)"
703,あちら,あちら,"over there, that way (polite)"
704,もし,もし,"if, in case of"
705,うるさい,うるさい,"noisy, annoying"
706,固い,かたい,"stiff, tight"
707,深い,ふかい,"deep, profound"
708,面白い,おもしろい,"interesting, amusing"
709,全く,まったく,"entirely, truly"
710,半分,は,half
711,普通,ふつう,"normal, regular"
712,分,ぶ,"amount, share"
713,文化,ぶ,culture
714,毎日,まいにち,every day
715,気を付ける,きをつける,"be careful about, pay attention to"
716,守る,まもる,"protect, observe"
717,もちろん,もちろ,of course
718,やはり,やはり,as expected
719,いくら,いくら,how much (money)
720,よろしく,よろしく,one’s regards
721,どなた,どなた,who (polite)
722,許す,ゆるす,"permit, forgive"
723,分ける,わける,"divide, share"
724,自然,しぜ,nature
725,アパート,あぱ,"apartment, flat"
726,ホテル,ほてる,hotel
727,パソコン,ぱそこ,personal computer
728,うまい,うまい,good at
729,明るい,あかるい,"bright, cheerful"
730,急ぐ,いそぐ,"hurry, do quickly"
731,歌,うた,song
732,中学校,ちゅうがっこう,junior high school
733,テスト,てすと,test
734,ポスト,ぽすと,"postbox, mailbox"
735,ハンカチ,は,handkerchief
736,髪,かみ,"hair, hairstyle"
737,帽子,ぼうし,"hat, cap"
738,被る,かぶる,"wear, put on (on one’s head)"
739,ブラウス,ぶらうす,blouse
740,週末,しゅうまつ,weekend
741,先週,せ,last week
742,再来週,さらいしゅう,the week after next
743,いつか,いつか,"some time, some day"
744,宿題,しゅくだい,homework
745,鍵,かぎ,"key, lock"
746,傘,かさ,"umbrella, parasol"
747,乗り換える,のりかえる,"change, transfer"
748,向かう,むかう,"face, head toward"
749,本屋,ほにゃ,bookstore (colloquial)
750,お茶,おちゃ,tea (polite)
751,改札口,かいさつぐち,ticket gate
752,晴れ,はれ,"fine weather, clear sky"
753,バス停,ばすてい,bus stop
754,曇り,くもり,cloudy weather
755,塩,しお,salt
756,たくさん,たくさ,"a lot, in large quantity"
757,大嫌い,だいきらい,hate
758,中,なか,"inside, middle"
759,二階,にかい,"second floor, upstairs"
760,無くす,なくす,"lose, get rid of"
761,まあまあ,まあまあ,"OK, not bad"
762,黄色,きいろ,yellow color
763,ランチ,ら,lunch (loan word)
764,魚,さかな,fish
765,味,あじ,"taste, flavor"
766,りんご,り,apple
767,みかん,みか,tangerine
768,皿,さら,"plate, counter (for plates or helpings)"
769,コーヒー,こ,coffee
770,コップ,こっぷ,"cup, glass"
771,二人,ふたり,two persons
772,止む,やむ,"stop, cease"
773,九,きゅう,nine
774,昼間,ひるま,"daytime, during the day"
775,いつ頃,いつごろ,"about when, about what time"
776,字,じ,"(individual) character, letter"
777,七,なな,seven (Chinese origin)
778,お釣り,おつり,change (of money)
779,名字,みょうじ,"surname, family name"
780,おじ,おじ,(one’s own) uncle
781,おば,おば,(one’s own) aunt
782,祖父,そふ,grandfather (formal)
783,祖母,そぼ,grandmother (formal)
784,大事,だいじ,importance
785,見方,みかた,"view, perspective"
786,鳥,とり,"bird, poultry"
787,犬,いぬ,dog
788,返事,へ,"reply, answer, response"
789,また,また,"again, also, or"
790,年間,ね,period of one year
791,青,あお,"blue, green"
792,赤,あか,red color
793,信号,し,"signal, traffic light"
794,円,え,circle
795,非常に,ひじょうに,"very, extremely"
796,複雑,ふくざつ,"complicated, intricate"
797,平和,へいわ,"peace, harmony"
798,回る,まわる,"turn round, go around"
